created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
31.0	2015-01-16	8025	ALICANTE/ALACANT		1011.1	1001.2	ALICANTE	12.8	3.4	15.1	11.6	8.0	2.8
27.0	2015-01-16	7247X	PINOSO 	0.0			ALICANTE	11.7		11.4	7.8	4.3	3.3
26.0	2015-01-16	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1017.6	1007.3	ALICANTE	16.9	0.7	15.8	10.4	5.0	5.0
30.0	2015-01-17	8025	ALICANTE/ALACANT	0.0	1013.1	1011.1	ALICANTE	8.9	9.0	15.0	9.4	3.9	1.7
31.0	2015-01-17	7247X	PINOSO 	0.0			ALICANTE	8.6		10.9	3.6	-3.7	1.7
29.0	2015-01-17	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.4	1017.6	ALICANTE	12.8	9.1	15.1	9.3	3.5	3.3
19.0	2015-01-18	8025	ALICANTE/ALACANT	7.0	1012.5	998.5	ALICANTE	5.3	5.4	14.6	7.4	0.3	1.4
22.0	2015-01-18	7247X	PINOSO 	11.5			ALICANTE	5.8		10.1	2.3	-5.5	1.1
99.0	2015-01-18	8019	ALICANTE-ELCHE AEROPUERTO	8.4	1018.9	1004.7	ALICANTE	6.1	3.5	14.8	7.6	0.3	1.7
36.0	2015-01-19	8025	ALICANTE/ALACANT	0.2	1001.8	994.9	ALICANTE	10.6	0.0	11.1	9.5	7.9	2.5
2.0	2015-01-19	7247X	PINOSO 	0.6			ALICANTE	9.4		4.5	2.8	1.0	3.1
99.0	2015-01-19	8019	ALICANTE-ELCHE AEROPUERTO	0.2	1008.1	1000.9	ALICANTE	9.7	0.0	11.4	9.7	8.0	3.6
34.0	2015-01-20	8025	ALICANTE/ALACANT	0.0	1001.3	998.8	ALICANTE	11.4	7.8	13.7	9.2	4.6	1.9
32.0	2015-01-20	7247X	PINOSO 	0.0			ALICANTE	7.2		8.9	3.7	-1.5	1.1
27.0	2015-01-20	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1007.7	1005.0	ALICANTE	13.3	5.8	12.9	8.9	4.9	5.6
30.0	2015-01-21	8025	ALICANTE/ALACANT	0.0	1001.0	998.2	ALICANTE	9.2	8.8	14.5	8.6	2.6	2.5
28.0	2015-01-21	7247X	PINOSO 	0.0			ALICANTE	9.2		9.8	3.8	-2.2	2.5
99.0	2015-01-21	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1007.3	1004.4	ALICANTE	13.9	6.9	14.4	9.2	4.0	6.1
33.0	2015-01-22	8025	ALICANTE/ALACANT	0.0	1007.5	998.3	ALICANTE	9.7	6.4	14.3	10.2	6.1	2.5
33.0	2015-01-22	7247X	PINOSO 	0.0			ALICANTE	16.4		8.4	5.0	1.6	3.3
29.0	2015-01-22	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1013.8	1004.5	ALICANTE	15.0	6.5	13.8	10.1	6.4	4.7
33.0	2015-01-23	8025	ALICANTE/ALACANT	0.0	1011.2	1007.4	ALICANTE	9.7	9.4	15.3	10.2	5.1	1.7
33.0	2015-01-23	7247X	PINOSO 	0.0			ALICANTE	11.7		9.8	5.4	0.9	2.8
29.0	2015-01-23	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1017.8	1013.6	ALICANTE	11.7	9.5	15.8	10.8	5.7	4.4
99.0	2015-01-24	8025	ALICANTE/ALACANT	0.0	1014.0	1011.1	ALICANTE	4.7	9.5	15.9	10.2	4.4	1.4
33.0	2015-01-24	7247X	PINOSO 	0.0			ALICANTE	10.8		11.1	4.8	-1.6	2.5
